amount,due_in_days,past_credits,past_repaid_on_time,avg_days_late,repaid
15000,21,1,0,5.62,0
5000,21,9,4,7.32,1
2000,21,5,2,5.72,0
7200,7,4,3,5.4,1
10000,15,11,8,6.88,1
1000,10,1,0,5.21,0
15000,21,5,2,8.84,0
1000,7,0,0,1.03,1
10000,7,5,4,4.22,1
1000,10,6,2,4.01,1
3000,15,10,7,5.37,0
10000,7,4,2,6.95,1
2000,15,11,8,3.54,1
15000,30,4,1,8.18,0
10000,21,3,2,6.86,1
10000,15,2,2,0.0,1
7200,10,1,1,10.07,1
5000,15,3,3,0.29,1
1000,21,3,1,15.53,0
15000,15,5,2,6.95,1
15000,7,4,3,0.51,1
2000,7,3,2,0.45,1
3000,15,6,4,5.35,1
2000,30,6,3,1.41,0
22000,15,10,3,6.92,1
1000,21,4,4,5.65,1
2000,10,8,4,7.22,1
22000,7,11,3,10.35,0
10000,21,11,4,3.35,1
3000,30,1,1,4.76,1
22000,21,11,6,6.21,0
15000,7,5,4,0.0,1
15000,7,3,1,4.54,1
22000,21,4,4,0.0,1
1000,30,11,3,5.87,0
10000,7,1,1,3.0,1
1000,21,9,6,4.52,0
22000,15,10,2,14.12,1
3000,21,0,0,8.59,0
7200,21,1,1,3.02,1
7200,15,9,5,3.95,1
2000,21,5,3,3.66,1
22000,15,9,4,11.69,0
7200,21,7,5,0.07,0
2000,21,11,5,1.85,0
1000,10,1,0,4.74,0
1000,21,0,0,6.7,0
10000,7,9,8,0.0,1
5000,15,8,2,9.42,1
10000,15,3,1,3.11,0
7200,7,2,1,12.89,0
1000,21,8,6,8.15,1
5000,15,1,1,5.04,0
7200,7,11,6,6.41,0
1000,10,10,4,6.07,1
10000,21,7,6,0.0,0
15000,15,1,1,2.56,1
1000,21,8,6,1.19,0
7200,15,8,4,0.0,1
15000,15,2,1,3.72,1
22000,7,2,1,11.56,0
1000,10,1,0,8.94,1
7200,15,9,7,0.0,1
7200,21,3,1,9.22,0
10000,15,7,3,6.17,1
3000,21,4,3,3.19,1
15000,15,6,4,5.86,1
10000,7,2,0,9.03,0
22000,21,6,5,0.0,1
5000,30,4,2,3.98,0
7200,10,11,5,5.39,0
22000,7,0,0,2.11,1
3000,30,2,2,0.0,1
10000,15,10,6,1.89,1
15000,10,11,4,7.1,0
22000,30,7,3,6.65,0
2000,15,4,3,4.56,1
15000,15,3,2,0.0,1
15000,7,11,10,0.0,1
2000,10,1,0,4.96,0
10000,30,11,9,0.59,1
7200,21,11,3,6.63,0
15000,21,5,3,6.04,0
1000,15,8,2,6.79,0
1000,15,5,3,4.31,1
5000,15,8,0,6.03,1
22000,15,6,1,11.12,1
10000,15,11,4,3.48,1
22000,15,5,3,6.92,1
7200,15,0,0,3.65,1
22000,10,4,1,2.6,0
1000,15,7,2,15.78,0
15000,15,7,3,4.84,1
2000,7,2,2,1.03,0
1000,21,8,5,3.28,1
22000,10,3,1,6.92,0
5000,10,2,2,1.56,1
7200,10,5,4,4.84,1
10000,30,10,7,0.68,1
15000,7,8,5,6.84,1
7200,10,8,7,1.51,1
7200,15,10,8,0.96,1
22000,10,10,6,6.07,1
10000,7,2,1,4.55,0
10000,21,10,8,2.74,1
7200,30,1,1,0.97,1
2000,21,4,3,3.43,1
2000,10,0,0,3.49,0
3000,21,10,3,11.84,0
3000,15,6,2,7.04,1
1000,10,11,7,1.48,1
10000,21,2,1,11.77,0
7200,7,11,6,4.67,0
10000,15,2,1,5.56,1
7200,7,4,2,4.03,1
1000,30,2,1,0.0,1
1000,15,2,1,0.0,1
10000,15,6,5,2.49,1
3000,15,2,1,8.23,0
15000,30,11,2,2.5,0
7200,15,4,2,3.0,1
7200,30,8,2,14.1,1
22000,7,2,1,6.1,1
3000,10,5,2,10.28,1
22000,15,0,0,3.73,1
2000,7,6,3,10.86,1
2000,30,11,4,9.91,1
15000,21,7,4,6.32,1
2000,15,10,8,0.83,1
15000,7,7,4,4.09,0
3000,15,3,1,6.61,0
1000,15,4,1,5.41,0
3000,10,6,3,1.19,1
10000,15,10,8,7.06,1
5000,10,4,2,6.98,1
2000,15,7,4,7.97,1
1000,30,3,1,3.73,1
10000,10,8,3,8.1,1
10000,21,6,3,9.06,1
3000,15,11,7,7.56,0
15000,21,10,3,6.67,0
2000,21,2,1,4.29,1
5000,15,7,5,4.65,1
5000,21,4,3,0.91,0
