product_id,date,quantity_base
1,2025-12-27,4.575
1,2025-12-28,5.472
1,2025-12-29,4.023
1,2025-12-30,7.558
1,2025-12-31,7.248
1,2026-01-01,6.237
1,2026-01-02,5.555
1,2026-01-03,4.259
1,2026-01-04,3.23
1,2026-01-05,6.765
1,2026-01-06,7.319
1,2026-01-07,7.147
1,2026-01-08,5.87
1,2026-01-09,4.256
1,2026-01-10,4.856
1,2026-01-11,6.241
1,2026-01-12,6.211
1,2026-01-13,6.039
1,2026-01-14,7.599
1,2026-01-15,6.622
1,2026-01-16,6.144
1,2026-01-17,5.183
1,2026-01-18,2.583
1,2026-01-19,6.505
1,2026-01-20,6.364
1,2026-01-21,6.303
1,2026-01-22,6.535
1,2026-01-23,5.802
1,2026-01-24,3.407
1,2026-01-25,5.556
1,2026-01-26,6.701
1,2026-01-27,7.225
1,2026-01-28,6.767
1,2026-01-29,5.923
1,2026-01-30,6.315
1,2026-01-31,3.531
1,2026-02-01,5.865
1,2026-02-02,5.979
1,2026-02-03,7.132
1,2026-02-04,6.115
1,2026-02-05,6.61
1,2026-02-06,6.006
1,2026-02-07,3.692
1,2026-02-08,5.433
1,2026-02-09,6.203
1,2026-02-10,6.715
1,2026-02-11,8.187
1,2026-02-12,4.987
1,2026-02-13,5.814
1,2026-02-14,6.078
1,2026-02-15,6.207
1,2026-02-16,6.465
1,2026-02-17,7.009
1,2026-02-18,7.015
1,2026-02-19,6.527
1,2026-02-20,5.993
1,2026-02-21,4.157
1,2026-02-22,5.682
1,2026-02-23,7.881
1,2026-02-24,7.222
1,2026-02-25,6.469
1,2026-02-26,5.715
1,2026-02-27,6.2
1,2026-02-28,4.776
1,2026-03-01,5.799
1,2026-03-02,5.768
1,2026-03-03,7.957
1,2026-03-04,7.439
1,2026-03-05,6.225
1,2026-03-06,5.279
1,2026-03-07,3.887
1,2026-03-08,6.71
1,2026-03-09,6.139
1,2026-03-10,7.829
1,2026-03-11,7.157
1,2026-03-12,5.991
1,2026-03-13,5.433
1,2026-03-14,5.747
1,2026-03-15,4.723
1,2026-03-16,5.541
1,2026-03-17,7.459
1,2026-03-18,8.007
1,2026-03-19,8.168
1,2026-03-20,5.925
1,2026-03-21,5.402
1,2026-03-22,5.736
1,2026-03-23,5.336
1,2026-03-24,6.585
1,2026-03-25,6.762
1,2026-03-26,5.809
1,2026-03-27,6.299
1,2026-03-28,5.14
1,2026-03-29,5.245
1,2026-03-30,4.205
1,2026-03-31,9.021
1,2026-04-01,6.934
1,2026-04-02,8.537
1,2026-04-03,4.524
1,2026-04-04,4.279
1,2026-04-05,3.44
1,2026-04-06,6.59
1,2026-04-07,6.517
1,2026-04-08,6.812
1,2026-04-09,5.818
1,2026-04-10,6.326
1,2026-04-11,5.519
1,2026-04-12,6.673
1,2026-04-13,5.772
1,2026-04-14,7.594
1,2026-04-15,6.66
1,2026-04-16,6.669
1,2026-04-17,5.31
1,2026-04-18,5.343
1,2026-04-19,6.058
1,2026-04-20,7.135
1,2026-04-21,6.765
1,2026-04-22,8.512
1,2026-04-23,6.923
1,2026-04-24,5.487
1,2026-04-25,4.425
1,2026-04-26,4.817
1,2026-04-27,7.757
1,2026-04-28,7.706
1,2026-04-29,7.874
1,2026-04-30,6.77
1,2026-05-01,7.724
1,2026-05-02,6.057
1,2026-05-03,4.71
1,2026-05-04,6.165
1,2026-05-05,7.31
1,2026-05-06,7.872
1,2026-05-07,6.439
1,2026-05-08,6.14
1,2026-05-09,6.196
1,2026-05-10,4.257
1,2026-05-11,5.502
1,2026-05-12,7.116
1,2026-05-13,7.426
1,2026-05-14,8.62
1,2026-05-15,6.611
1,2026-05-16,5.811
1,2026-05-17,5.117
1,2026-05-18,6.197
1,2026-05-19,6.362
1,2026-05-20,8.422
1,2026-05-21,7.435
1,2026-05-22,6.859
1,2026-05-23,4.907
1,2026-05-24,5.236
1,2026-05-25,6.583
1,2026-05-26,8.258
1,2026-05-27,6.642
1,2026-05-28,7.652
1,2026-05-29,5.835
1,2026-05-30,4.25
1,2026-05-31,3.703
1,2026-06-01,6.359
1,2026-06-02,8.724
1,2026-06-03,9.179
1,2026-06-04,7.369
1,2026-06-05,7.442
1,2026-06-06,5.084
1,2026-06-07,6.154
1,2026-06-08,6.128
1,2026-06-09,7.175
1,2026-06-10,7.318
1,2026-06-11,5.457
1,2026-06-12,6.923
1,2026-06-13,4.626
1,2026-06-14,4.771
1,2026-06-15,5.566
1,2026-06-16,7.444
1,2026-06-17,9.292
1,2026-06-18,8.801
1,2026-06-19,4.586
1,2026-06-20,4.877
1,2026-06-21,4.606
1,2026-06-22,7.322
1,2026-06-23,7.858
1,2026-06-24,7.393
2,2025-12-27,3.278
2,2025-12-28,2.996
2,2025-12-29,5.297
2,2025-12-30,5.072
2,2025-12-31,5.328
2,2026-01-01,2.229
2,2026-01-02,3.617
2,2026-01-03,4.908
2,2026-01-04,4.459
2,2026-01-05,2.549
2,2026-01-06,4.405
2,2026-01-07,3.852
2,2026-01-08,5.752
2,2026-01-09,3.887
2,2026-01-10,2.648
2,2026-01-11,3.447
2,2026-01-12,1.962
2,2026-01-13,3.808
2,2026-01-14,4.863
2,2026-01-15,5.081
2,2026-01-16,2.16
2,2026-01-17,2.978
2,2026-01-18,4.248
2,2026-01-19,2.908
2,2026-01-20,4.881
2,2026-01-21,4.908
2,2026-01-22,5.797
2,2026-01-23,3.55
2,2026-01-24,3.167
2,2026-01-25,4.146
2,2026-01-26,3.029
2,2026-01-27,4.542
2,2026-01-28,4.511
2,2026-01-29,4.335
2,2026-01-30,4.434
2,2026-01-31,3.768
2,2026-02-01,2.884
2,2026-02-02,4.22
2,2026-02-03,5.932
2,2026-02-04,4.232
2,2026-02-05,4.583
2,2026-02-06,3.621
2,2026-02-07,3.296
2,2026-02-08,2.199
2,2026-02-09,5.261
2,2026-02-10,4.141
2,2026-02-11,5.739
2,2026-02-12,3.991
2,2026-02-13,3.296
2,2026-02-14,4.338
2,2026-02-15,4.32
2,2026-02-16,4.32
2,2026-02-17,5.39
2,2026-02-18,4.708
2,2026-02-19,4.502
2,2026-02-20,3.289
2,2026-02-21,4.111
2,2026-02-22,2.991
2,2026-02-23,5.362
2,2026-02-24,4.55
2,2026-02-25,4.976
2,2026-02-26,5.137
2,2026-02-27,3.858
2,2026-02-28,3.171
2,2026-03-01,3.543
2,2026-03-02,4.91
2,2026-03-03,4.293
2,2026-03-04,4.88
2,2026-03-05,4.559
2,2026-03-06,4.552
2,2026-03-07,3.35
2,2026-03-08,5.034
2,2026-03-09,4.091
2,2026-03-10,4.654
2,2026-03-11,4.865
2,2026-03-12,3.519
2,2026-03-13,3.052
2,2026-03-14,3.027
2,2026-03-15,4.517
2,2026-03-16,4.21
2,2026-03-17,4.478
2,2026-03-18,6.004
2,2026-03-19,5.834
2,2026-03-20,4.906
2,2026-03-21,2.79
2,2026-03-22,3.233
2,2026-03-23,5.709
2,2026-03-24,5.079
2,2026-03-25,4.83
2,2026-03-26,5.189
2,2026-03-27,4.729
2,2026-03-28,3.036
2,2026-03-29,3.826
2,2026-03-30,5.02
2,2026-03-31,3.979
2,2026-04-01,5.075
2,2026-04-02,3.744
2,2026-04-03,3.157
2,2026-04-04,3.064
2,2026-04-05,4.053
2,2026-04-06,4.042
2,2026-04-07,4.41
2,2026-04-08,5.127
2,2026-04-09,3.739
2,2026-04-10,4.308
2,2026-04-11,4.44
2,2026-04-12,3.629
2,2026-04-13,4.159
2,2026-04-14,5.248
2,2026-04-15,3.484
2,2026-04-16,5.107
2,2026-04-17,6.467
2,2026-04-18,3.458
2,2026-04-19,3.618
2,2026-04-20,4.937
2,2026-04-21,6.287
2,2026-04-22,5.908
2,2026-04-23,2.974
2,2026-04-24,4.458
2,2026-04-25,5.635
2,2026-04-26,4.232
2,2026-04-27,3.439
2,2026-04-28,5.217
2,2026-04-29,4.124
2,2026-04-30,5.705
2,2026-05-01,3.263
2,2026-05-02,3.657
2,2026-05-03,3.069
2,2026-05-04,3.947
2,2026-05-05,6.201
2,2026-05-06,5.253
2,2026-05-07,4.293
2,2026-05-08,3.133
2,2026-05-09,2.122
2,2026-05-10,2.776
2,2026-05-11,4.495
2,2026-05-12,5.818
2,2026-05-13,4.743
2,2026-05-14,6.018
2,2026-05-15,3.496
2,2026-05-16,3.45
2,2026-05-17,2.934
2,2026-05-18,5.219
2,2026-05-19,6.732
2,2026-05-20,3.802
2,2026-05-21,4.505
2,2026-05-22,5.103
2,2026-05-23,2.504
2,2026-05-24,4.272
2,2026-05-25,5.424
2,2026-05-26,5.138
2,2026-05-27,5.673
2,2026-05-28,6.212
2,2026-05-29,5.671
2,2026-05-30,3.632
2,2026-05-31,3.414
2,2026-06-01,3.732
2,2026-06-02,5.878
2,2026-06-03,4.157
2,2026-06-04,4.622
2,2026-06-05,4.215
2,2026-06-06,3.301
2,2026-06-07,4.084
2,2026-06-08,6.541
2,2026-06-09,5.02
2,2026-06-10,4.927
2,2026-06-11,5.657
2,2026-06-12,4.346
2,2026-06-13,4.876
2,2026-06-14,4.013
2,2026-06-15,4.311
2,2026-06-16,3.711
2,2026-06-17,4.0
2,2026-06-18,3.398
2,2026-06-19,4.478
2,2026-06-20,2.655
2,2026-06-21,4.907
2,2026-06-22,4.555
2,2026-06-23,4.964
2,2026-06-24,4.642
3,2025-12-27,4.523
3,2025-12-28,3.578
3,2025-12-29,4.218
3,2025-12-30,6.742
3,2025-12-31,6.271
3,2026-01-01,5.261
3,2026-01-02,5.097
3,2026-01-03,4.053
3,2026-01-04,4.549
3,2026-01-05,4.374
3,2026-01-06,7.468
3,2026-01-07,5.544
3,2026-01-08,6.715
3,2026-01-09,4.454
3,2026-01-10,4.713
3,2026-01-11,4.851
3,2026-01-12,5.965
3,2026-01-13,5.16
3,2026-01-14,6.889
3,2026-01-15,6.968
3,2026-01-16,4.419
3,2026-01-17,4.116
3,2026-01-18,3.865
3,2026-01-19,4.792
3,2026-01-20,7.223
3,2026-01-21,5.247
3,2026-01-22,4.758
3,2026-01-23,5.936
3,2026-01-24,4.609
3,2026-01-25,6.001
3,2026-01-26,4.73
3,2026-01-27,5.976
3,2026-01-28,5.542
3,2026-01-29,5.648
